"","edo_dto","cand.morena","alianza.prianrd","PAN.solo","PRI.solo","PRD.solo","PVEM.solo","PT.solo","MC","PES","RSP","FXM","CI","total.votos","lista.nominal","v.validos","alianza.morena","alianza.oposic","prop.morena","gana.morena","gana.prianrd","gana.pan","gana.pri","gana.mc","gana.pvem","alianzas","participacion","postula_reelec","cand.morena18","pan.y.aliados18","pri.y.aliados18","PAN.solo18","PRI.solo18","PRD.solo18","PVEM.solo18","PT.solo18","MC.solo18","NA.solo18","PES.solo18","total.votos18","lista.nominal18","v.validos18","alianza.morena18","alianza.pan18","alianza.pri18","prop.morena18","gana.morena18","gana.pri.y.aliados18","gana.pan.y.aliados18","gana.pri.solo18","gana.pan.solo18","d.morena","gana18","gana21","cambio.morena"
"1","1.1",48317,94438,0,0,0,11731,7696,6493,3184,2208,9231,0,190527,334776,183298,0,1,0.263598075265415,0,1,0,0,0,0,"Sólo VaXM",0.569117857910961,0,55521,63806,0,0,35351,0,8383,0,0,7436,0,178245,306488,170497,1,1,0,0.325642093409268,0,0,1,0,0,-0.0620440181438534,"Alianza PAN","VaXM","Opositor"
"2","1.2",46992,0,64670,10097,3629,0,0,6339,2433,1049,2872,0,143314,331813,138081,1,0,0.340321984921894,0,0,1,0,0,0,"Sólo JHH",0.431911950405801,1,62842,57797,0,0,31505,0,7016,0,0,5715,0,171308,304756,164875,1,1,0,0.381149355572403,1,0,0,0,0,-0.0408273706505096,"Morena","PAN","Pierde"
"3","1.3",44406,0,101758,12857,2692,0,0,7128,2243,975,3108,0,180246,350821,175167,1,0,0.253506653650516,0,0,1,0,0,0,"Sólo JHH",0.513783382408693,0,60184,86450,0,0,37746,0,8957,0,0,5406,0,206948,332204,198743,1,1,0,0.3028232440891,0,0,1,0,0,-0.0493165904385836,"Alianza PAN","PAN","Opositor"
"4","10.1",56024,73452,0,0,0,0,0,4968,2318,3203,1952,0,146266,333512,141917,1,1,0.394765954748198,0,1,0,0,0,0,"Ambas",0.438562930269376,1,59343,50476,0,0,45099,0,9800,0,0,4098,0,175872,315480,168816,1,1,0,0.351524736991754,1,0,0,0,0,0.0432412177564435,"Morena","VaXM","Pierde"
"5","10.2",72663,54716,0,0,0,0,0,3915,2142,784,1502,0,138981,334571,135722,1,1,0.535381146755869,1,0,0,0,0,0,"Ambas",0.415400617507196,0,84268,52102,0,0,36451,0,4498,0,0,3510,0,186476,322807,180829,1,1,0,0.46600932372573,1,0,0,0,0,0.0693718230301387,"Morena","Morena","Retiene"
"6","10.3",67836,62743,0,0,0,0,0,5204,2322,3608,1724,0,147374,321326,143437,1,1,0.472932367520235,1,0,0,0,0,0,"Ambas",0.458643247045057,1,70436,49186,0,0,40508,0,9138,0,0,3158,0,179437,311975,172426,1,1,0,0.408499878208623,1,0,0,0,0,0.0644324893116126,"Morena","Morena","Retiene"
"7","10.4",41786,59596,0,0,0,0,0,15375,2982,14110,3338,0,141340,343405,137187,1,1,0.304591542930453,0,1,0,0,0,0,"Ambas",0.411583989749712,0,64473,64237,0,0,40117,0,8508,0,0,7243,0,190376,329417,184578,1,1,0,0.349299483145337,1,0,0,0,0,-0.0447079402148843,"Morena","VaXM","Pierde"
"8","11.1",23911,0,43911,30284,6625,6913,3077,2262,4582,2960,5606,0,137140,279598,130131,0,0,0.183745610192806,0,0,1,0,0,0,"Sin coals.",0.490489917667508,0,33160,56278,0,0,29315,0,12750,0,0,4953,0,145720,263698,136456,1,1,0,0.243008735416545,0,0,1,0,0,-0.0592631252237388,"Alianza PAN","PAN","Opositor"
"9","11.10",41064,0,39487,21201,5445,14023,1911,12324,3743,2640,1517,0,148007,329915,143355,0,0,0.286449722716334,1,0,0,0,0,0,"Sin coals.",0.448621614658321,1,41300,75652,0,0,27519,0,17503,0,0,6196,0,175959,321373,168170,1,1,0,0.245584824879586,0,0,1,0,0,0.0408648978367474,"Alianza PAN","Morena","Obtiene"
"10","11.11",29026,0,66851,9615,1293,4368,956,3792,1100,726,1231,0,121629,281244,118958,0,0,0.244002084769414,0,0,1,0,0,0,"Sin coals.",0.432467892648376,1,29448,74922,0,0,16280,0,12243,0,0,3536,0,141522,266144,136429,1,1,0,0.215848536601456,0,0,1,0,0,0.0281535481679587,"Alianza PAN","PAN","Opositor"
"11","11.12",44108,0,56265,14286,2336,5841,4550,5574,2051,1174,2038,0,142003,330818,138223,0,0,0.319107529137698,0,0,1,0,0,0,"Sin coals.",0.429248106209457,1,50069,61888,0,0,17721,0,10924,0,0,3828,0,169669,NA,144430,1,1,0,0.346666205082047,0,0,1,0,0,-0.0275586759443489,"Alianza PAN","PAN","Opositor"
